,pmid,pubdays
724,1993648,33282.0
725,1655725,33504.0
726,2384150,33082.0
727,5676919,25018.0
728,,32858.0
729,,
730,,32599.0
731,3474660,31988.0
732,3745434,31654.0
733,6631236,30527.0
734,7410549,29219.0
735,3036801,31941.0
736,,33388.0
737,2013339,33320.0
738,2088165,32872.0
739,,32172.0
740,,31729.0
741,2935533,31456.0
742,,33510.0
743,,
744,19489072,39993.0
745,18382656,39538.0
746,17329343,39201.0
747,17351764,39153.0
748,16356932,38701.0
749,16956946,39020.0
750,19052094,39785.0
751,12356718,37528.0
752,18039658,39412.0
753,18486265,39628.0
754,,38553.0
755,17079281,39022.0
756,16149085,38624.0
757,16871569,38928.0
758,18234789,39537.0
759,,38830.0
760,16934030,38959.0
761,,37973.0
762,9794763,36096.0
763,18061478,39421.0
764,,38382.0
765,,41602.0
766,16231352,38642.0
767,,35858.0
768,16556829,38798.0
769,16627060,38806.0
770,9990022,36205.0
771,10693756,36572.0
772,8245716,34241.0
773,16109723,38582.0
774,,38928.0
775,12560360,37651.0
776,16884727,38931.0
777,23635783,41393.0
778,22178212,40895.0
779,11118484,36877.0
780,20019184,40164.0
781,12584111,37664.0
782,3282369,32232.0
783,,35549.0
784,8691527,35245.0
785,3926620,31046.0
786,1988348,33237.0
787,20813915,40423.0
788,6650662,30315.0
789,18063708,39422.0
790,22105172,40876.0
791,8138939,34392.0
792,,39354.0
793,16757304,38836.0
794,18613151,39690.0
795,12574630,37657.0
796,16565415,38802.0
797,14557822,37893.0
798,12677150,37710.0
799,8617441,35123.0
800,3043774,32354.0
801,8245129,34302.0
802,,33784.0
803,2668147,32750.0
804,11584364,37163.0
805,8857923,35337.0
806,15905202,38624.0
807,9214695,35557.0
808,19447108,40024.0
809,8078390,34484.0
810,17426247,39182.0
811,1379811,33814.0
812,9124302,35460.0
813,,39385.0
814,1906044,33418.0
815,,31046.0
816,15191879,38148.0
817,,39050.0
818,11172338,36921.0
819,19210626,39902.0
820,9920783,36185.0
821,7683700,34088.0
822,,35310.0
823,16310882,38683.0
824,,40358.0
825,22902870,41242.0
826,16199052,38655.0
827,15989959,38532.0
828,21068842,40491.0
829,8855185,35337.0
830,3979955,31046.0
831,10347121,36310.0
832,22406533,40998.0
833,11689883,37194.0
834,,37010.0
835,1531175,33632.0
836,21783193,40748.0
837,25554536,42048.0
838,10608355,36515.0
839,24969582,41850.0
840,20484475,40358.0
841,19217513,39859.0
842,23704171,41417.0
843,24360773,41630.0
844,23674307,41393.0
845,,37025.0
846,,38836.0
847,23219296,41253.0
848,22607822,41130.0
849,,40714.0
850,22883507,41130.0
851,,40929.0
852,19329177,39905.0
853,23674398,41408.0
854,20456733,40267.0
855,22845189,41120.0
856,16489319,38767.0
857,22884288,41182.0
858,25217178,41942.0
859,20167359,40234.0
860,20026049,40226.0
861,19191301,39902.0
862,12167620,37545.0
863,8626535,35158.0
864,15888448,38539.0
865,18406350,39610.0
866,17360894,39153.0
867,18660751,39690.0
868,17920016,39357.0
869,10531052,36453.0
870,,39963.0
871,8446617,34027.0
872,20005821,40155.0
873,,34514.0
874,19805234,40069.0
875,15351437,38251.0
876,17053810,39020.0
877,19339974,39932.0
878,19520913,39995.0
879,25053660,41870.0
880,,39537.0
881,,40542.0
882,22196744,40902.0
883,23430853,41326.0
884,23793874,41546.0
885,23357136,41273.0
886,8610605,35137.0
887,,34109.0
888,7584986,35002.0
889,,41607.0
890,,39567.0
891,,40876.0
892,,41004.0
893,17380167,39171.0
894,9714107,36016.0
895,8093314,33969.0
896,12700957,37727.0
897,10856535,36676.0
898,19026292,39781.0
899,15528480,38295.0
900,22911176,41176.0
901,,39598.0
902,,36829.0
903,16343504,38698.0
904,21235710,40662.0
905,20846238,40437.0
906,,
907,,39902.0
908,24585268,41700.0
909,25282520,41916.0
910,8774336,35245.0
911,24892180,41638.0
912,22353470,40960.0
913,24657386,41758.0
914,11772418,37259.0
915,21882079,40786.0
916,,41485.0
917,23907036,41487.0
918,,39232.0
919,,41375.0
920,12018713,37314.0
921,,41273.0
922,15710941,38397.0
923,23013161,41178.0
924,16574893,38867.0
925,15321837,38229.0
926,,
927,18239150,39537.0
928,10511356,36432.0
929,19489940,39932.0
930,23095242,40907.0
931,21219559,40601.0
932,18060104,39421.0
933,22398274,41120.0
934,14764421,38106.0
935,12837845,37832.0
936,12885571,37830.0
937,14550919,37903.0
938,11028681,36809.0
939,12454275,37589.0
940,12914579,37740.0
941,12820814,37771.0
942,11584272,37163.0
943,12714796,37620.0
944,12363033,37467.0
945,,36839.0
946,12810827,37863.0
947,9789077,36093.0
948,12410906,37559.0
949,10501560,36312.0
950,6033532,24471.0
951,6487643,30680.0
952,10486514,36432.0
953,1637723,33784.0
954,,
955,12368482,37542.0
956,3115992,32063.0
957,,
958,12040022,37406.0
959,7658157,34818.0
960,11463613,37102.0
961,11447826,36890.0
962,12508285,37620.0
963,11890840,37314.0
964,12692847,37740.0
965,10325447,36279.0
966,15254070,38182.0
967,8835780,35123.0
968,1625800,33635.0
969,10816423,36676.0
970,10903480,36726.0
971,10380922,36320.0
972,,
973,11030791,36798.0
974,11571339,37157.0
975,11694266,37199.0
976,12707064,37710.0
977,11027840,36824.0
978,11843693,37286.0
979,,37286.0
980,,37441.0
981,8346443,34192.0
982,11900994,37345.0
983,12483687,37605.0
984,11790212,37270.0
985,7883961,34757.0
986,11138930,36893.0
987,2462254,32476.0
988,6118099,29889.0
989,12457784,37581.0
990,,37255.0
991,11030795,36798.0
992,12235099,37498.0
993,,37566.0
994,12042316,37482.0
995,12084801,37432.0
996,11157071,36921.0
997,,31776.0
998,9265653,35665.0
999,12449021,37585.0
1000,9090294,35429.0
1001,8350998,34180.0
1002,12648780,37700.0
1003,12391360,37549.0
1004,,37255.0
1005,9547235,35914.0
1006,12205648,37498.0
1007,9630709,35963.0
1008,10787445,36645.0
1009,10884051,36701.0
1010,7830084,34729.0
1011,11160367,36890.0
1012,7498401,35032.0
1013,8626795,35116.0
1014,8790411,35309.0
1015,,24836.0
1016,12686551,37790.0
1017,,34514.0
1018,9051770,35417.0
1019,12091492,37436.0
1020,9374499,35793.0
1021,,37545.0
1022,9406925,35786.0
1023,11701931,37202.0
1024,11031244,36524.0
1025,7892230,34770.0
1026,3932467,31046.0
1027,8157129,34392.0
1028,10681402,36555.0
1029,3539206,31788.0
1030,7518435,34528.0
1031,9632729,35970.0
1032,10213549,36271.0
1033,3476946,32019.0
1034,10891962,36718.0
1035,,
1036,,31742.0
1037,,37798.0
1038,2646917,32597.0
1039,,37863.0
1040,10149803,33357.0
1041,14600192,37929.0
1042,15694930,38382.0
1043,16465619,38775.0
1044,10520631,36440.0
1045,,34180.0
1046,,
1047,7554178,34985.0
1048,14622975,37954.0
1049,16571601,38836.0
1050,9254694,35672.0
1051,,
1052,15194016,38151.0
1053,10816641,36663.0
1054,15772090,38471.0
1055,15054092,38140.0
1056,14687574,37976.0
1057,15215454,38167.0
1058,10089341,36242.0
1059,15040442,38016.0
1060,2250029,33210.0
1061,8831609,35337.0
1062,15166014,38198.0
1063,19762784,40146.0
1064,12436241,37589.0
1065,9298258,35610.0
1066,10683382,36555.0
1067,12684543,37801.0
1068,9633923,35945.0
1069,9333245,35703.0
1070,17316651,39135.0
1071,17570373,39415.0
1072,16390683,38720.0
1073,15044370,38071.0
1074,10964160,36737.0
1075,,37740.0
1076,18672372,39690.0
1077,17170371,39065.0
1078,6587346,30801.0
1079,9275065,35672.0
1080,15805152,38441.0
1081,16511590,38775.0
1082,,34058.0
1083,5863433,23741.0
1084,1616030,33754.0
1085,9613910,35949.0
1086,20655105,40358.0
1087,,39201.0
1088,8432214,33999.0
1089,,39408.0
1090,8713485,35063.0
1091,,39413.0
1092,17339577,39146.0
1093,,37606.0
1094,12076217,37427.0
1095,,39770.0
1096,9841303,36132.0
1097,,37714.0
1098,,37255.0
1099,,
1100,,38243.0
1101,,34655.0
1102,,39723.0
1103,7762499,34849.0
1104,12814712,37790.0
1105,,38218.0
1106,2619783,32602.0
1107,,35444.0
1108,,38897.0
1109,19332456,39903.0
1110,,35339.0
1111,16899775,38937.0
1112,18061058,39421.0
1113,9024733,35429.0
1114,15007110,38054.0
1115,,
1116,,
1117,,37999.0
1118,16287954,38671.0
1119,12837716,37803.0
1120,,36891.0
1121,16219880,38636.0
1122,,38767.0
1123,,38592.0
1124,16534008,38795.0
1125,,38190.0
1126,15755764,38447.0
1127,,37266.0
1128,15007111,38083.0
1129,11434828,37074.0
1130,18340203,39520.0
1131,,39026.0
1132,17699012,39356.0
1133,17387129,39315.0
1134,17898099,39350.0
1135,15738977,38411.0
1136,16458126,38753.0
1137,17630038,39275.0
1138,11086331,36859.0
1139,15071125,38083.0
1140,10075613,36230.0
1141,16574234,38959.0
1142,17387131,39167.0
1143,17325387,39232.0
1144,,32507.0
1145,12588754,37651.0
1146,20228404,40252.0
1147,,38326.0
1148,3179802,32323.0
1149,,36375.0
1150,,35245.0
1151,12928466,37852.0
1152,17076985,39020.0
1153,21920335,40801.0
1154,,40160.0
1155,11757504,37259.0
1156,,40601.0
1157,,40342.0
1158,20079494,40328.0
1159,3782631,31745.0
1160,2243429,33224.0
1161,25014686,41835.0
1162,,41393.0
1163,,40146.0
1164,20163197,40177.0
1165,21526889,40661.0
1166,,
1167,17368274,39158.0
1168,,41475.0
1169,4082125,31046.0
1170,17392721,39169.0
1171,20880345,40481.0
1172,9915660,36181.0
1173,,40662.0
1174,15969866,38471.0
1175,,
1176,20539903,40389.0
1177,16018787,38563.0
1178,,36144.0
1179,,28124.0
1180,18380993,39537.0
1181,25014706,41835.0
1182,19166443,39838.0
1183,,31046.0
1184,21067805,40493.0
1185,,39812.0
1186,,36798.0
1187,22267479,40967.0
1188,21062666,40493.0
1189,22607825,41130.0
1190,22870195,41120.0
1191,,39751.0
1192,15777554,38441.0
1193,15173162,38203.0
1194,,33148.0
1195,15883224,38480.0
1196,11282859,36982.0
1197,12423708,37573.0
1198,,38382.0
1199,,
1200,18376000,39537.0
1201,15194018,38151.0
1202,11034935,36814.0
1203,12236852,37498.0
1204,15887425,38471.0
1205,15893181,38487.0
1206,,
1207,16286171,38669.0
1208,,38290.0
1209,,38502.0
1210,12370217,37536.0
1211,,38571.0
1212,,38410.0
1213,15519289,38290.0
1214,,40693.0
1215,11360986,37027.0
1216,9874807,36164.0
1217,10194480,36249.0
1218,1968060,32927.0
1219,10740137,36615.0
1220,8369151,33968.0
1221,,
1222,8182121,34453.0
1223,9054771,35477.0
1224,,36172.0
1225,,26663.0
1226,4360855,27118.0
1227,11138003,36890.0
1228,,
1229,3771801,31715.0
1230,,36754.0
1231,11326085,37027.0
1232,197883,28124.0
1233,11099417,36859.0
1234,10073989,36218.0
1235,20129366,40212.0
1236,21146822,40525.0
1237,19214450,39856.0
1238,,40693.0
1239,,37679.0
1240,22018443,40876.0
1241,12887729,37832.0
1242,,40693.0
1243,2217676,33053.0
1244,21714434,40662.0
1245,,40876.0
1246,17848425,39354.0
1247,17587760,39232.0
1248,20935563,40511.0
1249,21145767,40525.0
1250,,40511.0
1251,,38198.0
1252,15199432,38153.0
1253,18648394,39651.0
1254,18331643,39515.0
1255,7437743,29468.0
1256,2923577,32566.0
1257,12056584,37375.0
1258,,
1259,19040724,39782.0
1260,19589528,40003.0
1261,,39020.0
1262,8378944,34241.0
1263,7762498,34849.0
1264,,37832.0
1265,1999035,33296.0
1266,,34765.0
1267,9699905,35975.0
1268,,34149.0
1269,,
1270,8967704,35412.0
1271,,33890.0
1272,,37452.0
1273,10412754,36360.0
1274,10447223,36340.0
1275,,27393.0
1276,8902156,35361.0
1277,12480357,37595.0
1278,9710340,35975.0
1279,12376854,37528.0
1280,,
1281,,35398.0
1282,,37528.0
1283,9804518,36037.0
1284,,34637.0
1285,,35198.0
1286,11948705,37356.0
1287,8994420,35435.0
1288,11583732,37163.0
1289,9050781,35469.0
1290,,
1291,,
1292,,33449.0
1293,,35975.0
1294,,36310.0
1295,,
1296,7605389,34811.0
1297,14569601,37914.0
1298,9087872,35488.0
1299,,35839.0
1300,9139617,35154.0
1301,10910023,36731.0
1302,9868586,36128.0
1303,1866766,33449.0
1304,,32141.0
1305,9549719,35794.0
1306,,37665.0
1307,14663598,37963.0
1308,21206339,40547.0
1309,17320165,39354.0
1310,8839930,35063.0
1311,,37679.0
1312,15716790,38410.0
1313,3198315,32141.0
1314,11923102,37343.0
1315,,29585.0
1316,3998153,31166.0
1317,10515593,36432.0
1318,9473291,35839.0
1319,8899454,35063.0
1320,11752462,37241.0
1321,3790578,31763.0
1322,,
1323,2629610,32866.0
1324,,
1325,,29585.0
1326,15554873,38313.0
1327,,37041.0
1328,16177187,38624.0
1329,3651482,32043.0
1330,12324281,37528.0
1331,10665502,36555.0
1332,,36159.0
1333,16569910,38867.0
1334,4067658,31380.0
1335,11022852,36524.0
1336,,36921.0
1337,11546785,37140.0
1338,,38806.0
1339,15753134,38418.0
1340,,37771.0
1341,11208913,36890.0
1342,12032155,37475.0
1343,12091246,37436.0
1344,,36949.0
1345,15522126,38259.0
1346,9576851,35928.0
1347,10737592,36615.0
1348,16380385,38713.0
1349,9356467,35743.0
1350,,37985.0
