"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"76716",,"1","false",,"","riesen wf",,"19970701","","2","false","riesen wf",,"author",
"76717",,"0","false",,"","rodondi n",,"20150311","","1","false","rodondi n",,"author",
"76720",,"0","false",,"","carolina romero j",,"20150310","","1","false","carolina romero j",,"author",
"76719",,"0","false",,"","borrell-pages m",,"20150310","","1","false","borrell-pages m",,"author",
"76722",,"1","false",,"","besseling j",,"20150307","","1","false","besseling j",,"author",
"76724",,"1","false",,"","al-saady n",,"20150307","","1","false","al-saady n",,"author",
"76723",,"0","false",,"","shah s",,,"","0","false","shah s",,"author",
"76726",,"1","false",,"","hunter j",,"20150307","","1","false","hunter j",,"author",
"76725",,"1","false",,"","koeijvoets m",,"20150307","","1","false","koeijvoets m",,"author",
"76728",,"1","false",,"","sapre a",,"20150307","","1","false","sapre a",,"author",
"76727",,"1","false",,"","fable j",,"20150307","","1","false","fable j",,"author",
"76729",,"0","false",,"","mitchel y",,,"","0","false","mitchel y",,"author",
"76732",,"0","false",,"","caldas ar",,"20150301","","1","false","caldas ar",,"author",
"76731",,"0","false",,"","palma i",,,"","0","false","palma i",,"author",
"76734",,"0","false",,"","queiros ja",,"20150301","","1","false","queiros ja",,"author",
"76733",,"0","false",,"","palma im",,"20150301","","2","false","palma im",,"author",
"76736",,"0","false",,"","oliveira jc",,"20150301","","1","false","oliveira jc",,"author",
"76735",,"0","false",,"","madureira a",,"20150301","","1","false","madureira a",,"author",
"76738",,"0","false",,"","correia c",,"20150301","","1","false","correia c",,"author",
"76737",,"0","false",,"","palma p",,"20150301","","1","false","palma p",,"author",
"76739",,"0","false",,"","ramos mh",,"20150301","","1","false","ramos mh",,"author",
"76748",,"3","false",,"","jialal i",,"19921101","","5","false","jialal i",,"author",
"76749",,"0","false",,"","patel sb",,"20150401","","1","false","patel sb",,"author",
"76756",,"1","false",,"","mackay ds",,"20150301","","1","false","mackay ds",,"author",
