"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"403002",,"2","false",,"","hodis hn",,"19951101","","2","false","hodis hn",,"author",
"402999",,"1","false",,"","stanczyk fz",,"20030501","","1","false","stanczyk fz",,"author",
"403000",,"1","false",,"","lobo ra",,"20030501","","1","false","lobo ra",,"author",
"403013",,"1","false",,"","placheta z",,"20030506","","1","false","placheta z",,"author",
"403014",,"1","false",,"","siegelova j",,"20030506","","1","false","siegelova j",,"author",
"403011",,"1","false",,"","zackova v",,"20030506","","1","false","zackova v",,"author",
"403012",,"1","false",,"","jancik j",,"20030506","","1","false","jancik j",,"author",
"403009",,"1","false",,"","svacinova h",,"20030506","","1","false","svacinova h",,"author",
"403010",,"1","false",,"","olsovsky j",,"20030506","","1","false","olsovsky j",,"author",
"403021",,"1","false",,"","mcpherson t",,"20030501","","1","false","mcpherson t",,"author",
"403022",,"1","false",,"","ostlund re",,"19890101","","2","false","ostlund re",,"author",
"403019",,"1","false",,"","racette sb",,"20030501","","1","false","racette sb",,"author",
"403020",,"1","false",,"","bateman j",,"20030501","","1","false","bateman j",,"author",
"403017",,"1","false",,"","mcgill jb",,"20030501","","1","false","mcgill jb",,"author",
"403018",,"1","false",,"","stenson wf",,"20030501","","1","false","stenson wf",,"author",
"403016",,"1","false",,"","spilburg ca",,"20030501","","1","false","spilburg ca",,"author",
"403035",,"2","false",,"","paolisso g",,"19950401","","3","false","paolisso g",,"author",
"403033",,"1","false",,"","fornaro f",,"20030501","","1","false","fornaro f",,"author",
"403034",,"1","false",,"","carbonella m",,"20030501","","1","false","carbonella m",,"author",
"403031",,"1","false",,"","colacurci n",,"20030501","","1","false","colacurci n",,"author",
"403032",,"1","false",,"","manzella d",,"20030501","","1","false","manzella d",,"author",
"403046",,"0","false",,"","sesso r",,"20030502","","1","false","sesso r",,"author",
"403043",,"1","false",,"","marwick th",,"20030415","","1","false","marwick th",,"author",
"403041",,"1","false",,"","haluska b",,"20030415","","1","false","haluska b",,"author",
"403042",,"1","false",,"","short l",,"20030415","","1","false","short l",,"author",
"403040",,"1","false",,"","fathi r",,"20030415","","1","false","fathi r",,"author",
"403051",,"0","false",,"","lin wc",,"20030101","","1","false","lin wc",,"author",
"403049",,"0","false",,"","shih cc",,"20030101","","1","false","shih cc",,"author",
"403050",,"0","false",,"","wu yw",,"20030101","","1","false","wu yw",,"author",
"403047",,"0","false",,"","ferraz mb",,"20030502","","1","false","ferraz mb",,"author",
"403062",,"0","false",,"","nalbone g",,"20030301","","1","false","nalbone g",,"author",
"403057",,"0","false",,"","hilton r",,"20030401","","1","false","hilton r",,"author",
"403056",,"0","false",,"","badawy o",,"20030401","","1","false","badawy o",,"author",
"403069",,"1","false",,"","houri j",,"20030520","","1","false","houri j",,"author",
"403070",,"1","false",,"","melani l",,"20030520","","1","false","melani l",,"author",
"403065",,"0","false",,"","alessi mc",,"20030301","","1","false","alessi mc",,"author",
"403063",,"0","false",,"","bernot d",,"20030301","","1","false","bernot d",,"author",
"403064",,"0","false",,"","peiretti f",,"20030301","","1","false","peiretti f",,"author",
"403073",,"1","false",,"","sager pt",,"20030520","","1","false","sager pt",,"author",
"403074",,"2","false",,"","ezetimibe study grp",,"20030401","","2","false","ezetimibe study grp",,"author",
"403071",,"1","false",,"","sun s",,"20030520","","1","false","sun s",,"author",
"403072",,"2","false",,"","lebeaut ap",,"20030401","","2","false","lebeaut ap",,"author",
"403085",,"0","false",,"","sjoberg g",,"20030301","","1","false","sjoberg g",,"author",
"403086",,"0","false",,"","natl programme quality assurance s",,"20030301","","1","false","natl programme quality assurance s",,"author",
"403083",,"0","false",,"","hedback b",,"20030301","","1","false","hedback b",,"author",
"403084",,"0","false",,"","israelsson b",,"20030301","","1","false","israelsson b",,"author",
"403081",,"0","false",,"","lingfors h",,"20030301","","1","false","lingfors h",,"author",
"403082",,"0","false",,"","erhardt l",,"20030301","","1","false","erhardt l",,"author",
"403079",,"0","false",,"","nilsson p",,"20030301","","1","false","nilsson p",,"author",
"403080",,"0","false",,"","brandstrom h",,"20030301","","1","false","brandstrom h",,"author",
"403101",,"1","false",,"","catellier d",,"20030401","","1","false","catellier d",,"author",
"403102",,"1","false",,"","tymchak w",,"20030401","","1","false","tymchak w",,"author",
"403099",,"1","false",,"","buller ce",,"20030401","","1","false","buller ce",,"author",
"403100",,"1","false",,"","plante s",,"20030401","","1","false","plante s",,"author",
"403097",,"1","false",,"","burton jr",,"20030401","","1","false","burton jr",,"author",
"403098",,"1","false",,"","teo kk",,"20030401","","1","false","teo kk",,"author",
"403105",,"1","false",,"","montague tj",,"20030401","","1","false","montague tj",,"author",
"403106",,"1","false",,"","scat investigators",,"20030401","","1","false","scat investigators",,"author",
"403103",,"1","false",,"","taylor d",,"20030401","","1","false","taylor d",,"author",
"403104",,"1","false",,"","dzavik v",,"20030401","","1","false","dzavik v",,"author",
"403117",,"0","false",,"","avram mm",,"20030501","","1","false","avram mm",,"author",
"403118",,"0","false",,"","escobar-jimenez f",,"20030501","","1","false","escobar-jimenez f",,"author",
"403115",,"0","false",,"","appel gb",,"20030501","","1","false","appel gb",,"author",
"403116",,"0","false",,"","radhakrishnan j",,"20030501","","1","false","radhakrishnan j",,"author",
"403125",,"0","false",,"","renaal study investigators",,"20030501","","1","false","renaal study investigators",,"author",
"403123",,"0","false",,"","shahinfar s",,"20030501","","1","false","shahinfar s",,"author",
"403124",,"0","false",,"","brenner bm",,"20030501","","1","false","brenner bm",,"author",
"403121",,"0","false",,"","hille da",,"20030501","","1","false","hille da",,"author",
"403122",,"0","false",,"","dickson tz",,"20030501","","1","false","dickson tz",,"author",
"403119",,"0","false",,"","campos mm",,"20030501","","1","false","campos mm",,"author",
"403120",,"0","false",,"","burgess e",,"20030501","","1","false","burgess e",,"author",
"403141",,"0","false",,"","wiegman a",,"20030426","","1","false","wiegman a",,"author",
"403142",,"0","false",,"","de groot e",,"20030426","","1","false","de groot e",,"author",
"403139",,"0","false",,"","gilbert g",,"20030426","","1","false","gilbert g",,"author",
"403137",,"0","false",,"","king de",,"20030426","","1","false","king de",,"author",
"403138",,"0","false",,"","mainous ag",,"20030426","","1","false","mainous ag",,"author",
"403136",,"0","false",,"","steyer te",,"20030426","","1","false","steyer te",,"author",
"403149",,"1","false",,"","manion cv",,"20030401","","1","false","manion cv",,"author",
"403150",,"1","false",,"","yang b",,"20030401","","1","false","yang b",,"author",
"403147",,"1","false",,"","gitter h",,"20030401","","1","false","gitter h",,"author",
"403148",,"1","false",,"","truitt t",,"20030401","","1","false","truitt t",,"author",
"403144",,"0","false",,"","mctaggart f",,"20030301","","1","false","mctaggart f",,"author",
"403163",,"0","false",,"","hirsch at",,"20030425","","1","false","hirsch at",,"author",
"403171",,"1","false",,"","svetlik d",,"20030401","","1","false","svetlik d",,"author",
"403169",,"2","false",,"","von bergmann k",,"19990701","","2","false","von bergmann k",,"author",
"403170",,"1","false",,"","moore c",,"20030401","","1","false","moore c",,"author",
"403167",,"1","false",,"","weiner mf",,"20030401","","1","false","weiner mf",,"author",
"403168",,"1","false",,"","lipton am",,"20030401","","1","false","lipton am",,"author",
"403181",,"0","false",,"","pena jl",,"20030401","","1","false","pena jl",,"author",
"403182",,"0","false",,"","martinez-ferez a",,"20030401","","1","false","martinez-ferez a",,"author",
"403179",,"0","false",,"","baro l",,"20030401","","1","false","baro l",,"author",
"403180",,"0","false",,"","fonolla j",,"20030401","","1","false","fonolla j",,"author",
"403185",,"0","false",,"","boza jj",,"20030401","","1","false","boza jj",,"author",
"403186",,"0","false",,"","lopez-huertas e",,"20030401","","1","false","lopez-huertas e",,"author",
"403183",,"0","false",,"","lucena a",,"20030401","","1","false","lucena a",,"author",
"403184",,"0","false",,"","jimenez j",,,"","0","false","jimenez j",,"author",
"403197",,"0","false",,"","julien p",,"20030422","","1","false","julien p",,"author",
"403195",,"0","false",,"","perron p",,"20030422","","1","false","perron p",,"author",
"403196",,"1","false",,"","bergeron j",,"19991001","","5","false","bergeron j",,"author",
"403193",,"0","false",,"","ruel il",,"20030422","","1","false","ruel il",,"author",
"403194",,"0","false",,"","gaudet d",,"20030422","","1","false","gaudet d",,"author",
"403206",,"1","false",,"","allison db",,"20030401","","1","false","allison db",,"author",
"403203",,"1","false",,"","joubert jm",,"20030422","","1","false","joubert jm",,"author",
"403204",,"1","false",,"","attali jr",,"20030422","","1","false","attali jr",,"author",
"403201",,"1","false",,"","allanic h",,"20030422","","1","false","allanic h",,"author",
"403202",,"1","false",,"","miloradovich t",,"20030422","","1","false","miloradovich t",,"author",
"403199",,"1","false",,"","krempf m",,"20030422","","1","false","krempf m",,"author",
"403200",,"1","false",,"","louvet jp",,"20030422","","1","false","louvet jp",,"author",
"403213",,"1","false",,"","heymsfield sb",,"20030401","","1","false","heymsfield sb",,"author",
"403211",,"1","false",,"","heshka s",,"20030401","","1","false","heshka s",,"author",
"403212",,"1","false",,"","fontaine kr",,"20030401","","1","false","fontaine kr",,"author",
"403209",,"1","false",,"","murugesan r",,"20030401","","1","false","murugesan r",,"author",
"403210",,"1","false",,"","kraker jl",,"20030401","","1","false","kraker jl",,"author",
"403207",,"1","false",,"","gadbury g",,"20030401","","1","false","gadbury g",,"author",
"403208",,"1","false",,"","schwartz lg",,"20030401","","1","false","schwartz lg",,"author",
"403221",,"0","false",,"","li dy",,"20030101","","1","false","li dy",,"author",
"403229",,"0","false",,"","fard nm",,"20030416","","1","false","fard nm",,"author",
"403230",,"0","false",,"","zadegan ns",,"20030416","","1","false","zadegan ns",,"author",
"403227",,"0","false",,"","landry m",,"20030416","","1","false","landry m",,"author",
"403225",,"0","false",,"","crisby m",,"20030417","","1","false","crisby m",,"author",
"403237",,"0","false",,"","sandhir r",,"20030415","","1","false","sandhir r",,"author",
"403235",,"0","false",,"","koul a",,"20030415","","1","false","koul a",,"author",
"403236",,"0","false",,"","singh a",,"20030415","","1","false","singh a",,"author",
"403233",,"0","false",,"","abdar n",,"20030416","","1","false","abdar n",,"author",
